"dataset","consumer","degree","degree_all_taxa","self_links","metrics","n_metrics","consumer_taxon_status","consumer_taxon_evidence"
"GloBI consumers","Euthynnus alletteratus",66,178,1,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Faxonius rusticus",4,10,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Formica sanguinea",25,28,1,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Formica subsericea",7,14,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Fundulus diaphanus",188,301,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Fundulus grandis",23,124,1,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Gadus morhua",667,1347,1,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Galaxias brevipinnis",9,42,1,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Galaxias fasciatus",2,7,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Galaxias vulgaris",16,85,1,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Gambelia wislizenii",3,15,0,"ctmin",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Gambusia affinis",60,157,1,"ctmax;ctmin",2,"animal","verified thermal-source taxonomy"
"GloBI consumers","Gammarus pulex",448,522,0,"ctmax;lt50;ltmax",3,"animal","verified thermal-source taxonomy"
"GloBI consumers","Gasterosteus aculeatus",1345,1621,1,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Gillichthys mirabilis",28,76,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Girella nigricans",90,175,0,"lt50",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Glossiphonia complanata",35,58,1,"ltmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Gobio gobio",705,842,1,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Gobiocichla ethelwynnae",1,6,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Gobiomorphus breviceps",25,117,1,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Gobiomorphus cotidianus",8,37,0,"ctmax;lt50",2,"animal","verified thermal-source taxonomy"
"GloBI consumers","Gobius cobitis",1,10,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Gobius niger",42,132,1,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Gobius paganellus",73,144,1,"ctmax;lt50",2,"animal","verified thermal-source taxonomy"
"GloBI consumers","Gymnarchus niloticus",3,9,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Gymnocephalus cernua",632,808,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Haemulon flavolineatum",147,216,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Hagenius brevistylus",29,34,1,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Halichoeres bivittatus",151,218,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Halichoeres garnoti",115,167,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Halichoeres maculipinna",143,205,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Halichoeres poeyi",111,160,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Halichoeres radiatus",179,232,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Halichoeres semicinctus",41,102,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Helobdella stagnalis",26,48,0,"ctmax;ltmax",2,"animal","verified thermal-source taxonomy"
"GloBI consumers","Heloderma suspectum",15,15,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Hemachatus haemachatus",4,10,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Hemidactylus frenatus",15,33,1,"ctmax;ctmin",2,"animal","verified thermal-source taxonomy"
"GloBI consumers","Hemidactylus turcicus",5,18,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Hepsetus odoe",6,26,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Hiodon alosoides",9,61,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Holacanthus passer",49,72,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Hucho hucho",39,61,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Huso huso",36,65,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Hydrocynus brevis",2,6,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Hydrocynus forskahlii",18,68,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Hydrocynus vittatus",17,39,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Hydropsyche pellucidula",371,433,0,"ctmax;ltmax",2,"animal","verified thermal-source taxonomy"
"GloBI consumers","Hypomesus olidus",4,17,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Hypoplectrus aberrans",61,86,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Hypoplectrus nigricans",97,127,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Hypsoblennius hentz",35,55,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Ictalurus furcatus",31,97,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Ictalurus punctatus",44,115,0,"ctmax;ctmin;ltmax",3,"animal","verified thermal-source taxonomy"
"GloBI consumers","Ischnura elegans",749,816,1,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Istiompax indica",14,24,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Istiophorus platypterus",37,112,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Kajikia albida",30,78,0,"ctmax",1,"animal","verified thermal-source taxonomy"
