consumer,metrics,n_metrics
Pterois volitans,ctmax,1
Ptychocheilus grandis,ctmax,1
Ptychocheilus oregonensis,ctmax,1
Pygocentrus nattereri,ctmax,1
Pylodictis olivaris,ctmax,1
Regina alleni,ctmax,1
Rhinichthys atratulus,ctmax;lt50,2
Rhinocheilus lecontei,ctmax,1
Rhodeus amarus,ctmax,1
Rhyacophila dorsalis,ctmax;ltmax,2
Richardsonius balteatus,ctmax,1
Rutilus aula,ctmax,1
Rutilus pigus,ctmax,1
Rutilus rutilus,ctmax;lt50,2
Sabanejewia larvata,ctmax,1
Salariopsis fluviatilis,ctmax,1
Salmo labrax,ctmax,1
Salmo marmoratus,ctmax,1
Salmo salar,ctmax;ctmin,2
Salmo trutta,ctmax,1
Salvelinus alpinus,ctmax;lt50,2
Salvelinus fontinalis,ctmax,1
Salvelinus leucomaenis,ctmax,1
Salvelinus namaycush,ctmax,1
Sander canadensis,ctmax,1
Sander lucioperca,ctmax,1
Sander vitreus,ctmax,1
Sander volgensis,ctmax,1
Sarda australis,ctmax,1
Sarda chiliensis,ctmax,1
Sarda orientalis,ctmax,1
Sarda sarda,ctmax,1
Sardinops sagax,ctmax,1
Sarmarutilus rubilio,ctmax,1
Scardinius erythrophthalmus,ctmax,1
Schilbe intermedius,ctmax,1
Schilbe mystus,ctmax,1
Sciaenops ocellatus,ctmax;ctmin,2
Scomber australasicus,ctmax,1
Scomber scombrus,ctmax,1
Scomberomorus commerson,ctmax,1
Scomberomorus munroi,ctmax,1
Scomberomorus niphonius,ctmax,1
Scomberomorus queenslandicus,ctmax,1
Scomberomorus regalis,ctmax,1
Scomberomorus tritor,ctmax,1
Scorpaena porcus,ctmax;lt50,2
Semotilus atromaculatus,ctmax,1
Seriola lalandi,ctmax,1
Serranochromis angusticeps,ctmax,1
Serranus atricauda,ctmax,1
Sialis lutaria,ctmax;ltmax,2
Silurus asotus,ctmax,1
Silurus glanis,ctmax,1
Silurus meridionalis,ctmax,1
Solea solea,ctmax,1
Solenopsis invicta,ctmax,1
Sparus aurata,ctmax,1
Sperata seenghala,ctmax,1
Sphoeroides maculatus,ctmax;lt50,2
Sphoeroides spengleri,ctmax,1
Spondyliosoma cantharus,ctmax,1
Squalius cephalus,ctmax,1
Stenodus leucichthys,ctmax,1
Stenotomus chrysops,ctmax,1
Sterechinus neumayeri,ctmax,1
Strongylura marina,ctmax,1
Symphodus melops,ctmax,1
Syngnathus acus,ctmax,1
Synodontis multipunctatus,ctmax,1
Synodontis njassae,ctmax,1
Synodontis petricola,ctmax,1
Synodontis zambezensis,ctmax,1
Tautoga onitis,ctmax,1
Tautogolabrus adspersus,ctmax,1
Telestes muticellus,ctmax,1
Telestes souffia,ctmax,1
Terapon jarbua,ctmax,1
Tetrapturus angustirostris,ctmax,1
Thalassoma bifasciatum,ctmax,1
Thamnophis elegans,ctmax;ctmin,2
Thamnophis marcianus,ctmin,1
Thamnophis sirtalis,ctmax;ctmin,2
Thunnus alalunga,ctmax,1
Thunnus albacares,ctmax,1
Thunnus maccoyii,ctmax,1
Thunnus obesus,ctmax,1
Thunnus thynnus,ctmax,1
Thymallus arcticus,ctmax,1
Thymallus thymallus,ctmax,1
Tibellus maritimus,ctmax;lt50,2
Tinca tinca,ctmax,1
Tor tor,ctmax,1
Trachurus japonicus,ctmax,1
Trematomus bernacchii,ctmax,1
Trematomus hansoni,ctmax;lt50,2
Trematomus pennellii,ctmax,1
Trimeresurus gracilis,ctmax;ctmin,2
Trinectes maculatus,ctmax,1
Tylochromis polylepis,ctmax,1
Tylochromis pulcher,ctmax,1
Umbra limi,ctmax,1
Umbra pygmaea,ctmax,1
Varanus gouldii,ctmax,1
Wallago attu,ctmax,1
Xiphias gladius,ctmax,1
Xyrauchen texanus,ctmax,1
Xyrichtys novacula,ctmax,1
Zoarces viviparus,ctmax,1
Zora spinimana,ctmax,1
