species_alias,accepted_species,species_raw,metric,trait_value,trait_source,source_record_id,kingdom,phylum,class,order,family,habitat_class,group,source_priority
Thalassoma bifasciatum,Thalassoma bifasciatum,Thalassoma bifasciatum,ctmax,38.51,ComteOlden,ComteOlden_row_2070,Animalia,Chordata,Actinopterygii,,Labridae,marine,fish,2
Thalassoma duperrey,Thalassoma duperrey,Thalassoma duperrey,ctmax,37.23,ComteOlden,ComteOlden_row_2071,Animalia,Chordata,Actinopterygii,,Labridae,marine,fish,2
Thalassoma genivittatum,Thalassoma genivittatum,Thalassoma genivittatum,ctmax,37.65,ComteOlden,ComteOlden_row_2072,Animalia,Chordata,Actinopterygii,,Labridae,marine,fish,2
Thalassoma hardwicke,Thalassoma hardwicke,Thalassoma hardwicke,ctmax,38.26,ComteOlden,ComteOlden_row_2073,Animalia,Chordata,Actinopterygii,,Labridae,marine,fish,2
Thalassoma hebraicum,Thalassoma hebraicum,Thalassoma hebraicum,ctmax,38.14,ComteOlden,ComteOlden_row_2074,Animalia,Chordata,Actinopterygii,,Labridae,marine,fish,2
Thalassoma jansenii,Thalassoma jansenii,Thalassoma jansenii,ctmax,38.13,ComteOlden,ComteOlden_row_2075,Animalia,Chordata,Actinopterygii,,Labridae,marine,fish,2
Thalassoma loxum,Thalassoma loxum,Thalassoma loxum,ctmax,38.26,ComteOlden,ComteOlden_row_2076,Animalia,Chordata,Actinopterygii,,Labridae,marine,fish,2
Thalassoma lucasanum,Thalassoma lucasanum,Thalassoma lucasanum,ctmax,36,GlobTherm,GlobTherm_row_106_upper_primary,,Chordata,Actinopteri,Perciformes,Labridae,unknown,,3
Thalassoma lucasanum,Thalassoma lucasanum,Thalassoma lucasanum,ctmin,16.3,GlobTherm,GlobTherm_row_106_lower_primary,,Chordata,Actinopteri,Perciformes,Labridae,unknown,,3
Thalassoma lunare,Thalassoma lunare,Thalassoma lunare,ctmax,38.28,ComteOlden,ComteOlden_row_2077,Animalia,Chordata,Actinopterygii,,Labridae,marine,fish,2
Thalassoma lutescens,Thalassoma lutescens,Thalassoma lutescens,ctmax,37.98,ComteOlden,ComteOlden_row_2078,Animalia,Chordata,Actinopterygii,,Labridae,marine,fish,2
Thalassoma newtoni,Thalassoma newtoni,Thalassoma newtoni,ctmax,37.89,ComteOlden,ComteOlden_row_2079,Animalia,Chordata,Actinopterygii,,Labridae,marine,fish,2
Thalassoma noronhanum,Thalassoma bifasciatum,Thalassoma noronhanum,ctmax,37.69,ComteOlden,ComteOlden_row_2080,Animalia,Chordata,Actinopterygii,,Labridae,marine,fish,2
Thalassoma pavo,Thalassoma pavo,Thalassoma pavo,ctmax,35.8,ComteOlden,ComteOlden_row_2081,Animalia,Chordata,Actinopterygii,,Labridae,marine,fish,2
Thalassoma purpureum,Thalassoma purpureum,Thalassoma purpureum,ctmax,38,ComteOlden,ComteOlden_row_2082,Animalia,Chordata,Actinopterygii,,Labridae,marine,fish,2
Thalassoma quinquevittatum,Thalassoma quinquevittatum,Thalassoma quinquevittatum,ctmax,38.05,ComteOlden,ComteOlden_row_2083,Animalia,Chordata,Actinopterygii,,Labridae,marine,fish,2
Thalassoma robertsoni,Thalassoma robertsoni,Thalassoma robertsoni,ctmax,38.4,ComteOlden,ComteOlden_row_2084,Animalia,Chordata,Actinopterygii,,Labridae,marine,fish,2
Thalassoma trilobatum,Thalassoma trilobatum,Thalassoma trilobatum,ctmax,38.02,ComteOlden,ComteOlden_row_2085,Animalia,Chordata,Actinopterygii,,Labridae,marine,fish,2
Thaleichthys pacificus,Thaleichthys pacificus,Thaleichthys pacificus,ctmax,27.43,ComteOlden,ComteOlden_row_2363,Animalia,Chordata,Actinopterygii,,Osmeridae,freshwater,fish,2
Thamnophis butleri,Thamnophis butleri,Thamnophis butleri,ctmin,5.8,GlobTherm,GlobTherm_row_1312_lower_primary,,Chordata,Lepidosauria,Squamata,Colubridae,unknown,,3
Thamnophis elegans,Thamnophis elegans,Thamnophis elegans,ctmax,43.1,GlobTherm,GlobTherm_row_1227_upper_primary,,Chordata,Lepidosauria,Squamata,Colubridae,unknown,,3
Thamnophis elegans,Thamnophis elegans,Thamnophis elegans,ctmin,2,GlobTherm,GlobTherm_row_1227_lower_primary,,Chordata,Lepidosauria,Squamata,Colubridae,unknown,,3
Thamnophis marcianus,Thamnophis marcianus,Thamnophis marcianus,ctmin,5.7,GlobTherm,GlobTherm_row_1313_lower_primary,,Chordata,Lepidosauria,Squamata,Colubridae,unknown,,3
Thamnophis melanogaster,Thamnophis melanogaster,Thamnophis melanogaster,ctmin,6.1,GlobTherm,GlobTherm_row_1314_lower_primary,,Chordata,Lepidosauria,Squamata,Colubridae,unknown,,3
Thamnophis ordinoides,Thamnophis ordinoides,Thamnophis ordinoides,ctmax,38.9,GlobTherm,GlobTherm_row_1266_upper_primary,,Chordata,Lepidosauria,Squamata,Colubridae,unknown,,3
Thamnophis ordinoides,Thamnophis ordinoides,Thamnophis ordinoides,ctmin,4.2,GlobTherm,GlobTherm_row_1266_lower_primary,,Chordata,Lepidosauria,Squamata,Colubridae,unknown,,3
Thamnophis radix,Thamnophis radix,Thamnophis radix,ctmin,4.6,GlobTherm,GlobTherm_row_1210_lower_primary,,Chordata,Lepidosauria,Squamata,Colubridae,unknown,,3
Thamnophis sirtalis,Thamnophis sirtalis,Thamnophis sirtalis,ctmax,38.9,GlobTherm,GlobTherm_row_1267_upper_primary,,Chordata,Lepidosauria,Squamata,Colubridae,unknown,,3
Thamnophis sirtalis,Thamnophis sirtalis,Thamnophis sirtalis,ctmin,4.2,GlobTherm,GlobTherm_row_1267_lower_primary,,Chordata,Lepidosauria,Squamata,Colubridae,unknown,,3
Thoburnia atripinnis,Thoburnia atripinnis,Thoburnia atripinnis,ctmax,35.44,ComteOlden,ComteOlden_row_329,Animalia,Chordata,Actinopterygii,,Catostomidae,freshwater,fish,2
Thoburnia hamiltoni,Thoburnia hamiltoni,Thoburnia hamiltoni,ctmax,35.23,ComteOlden,ComteOlden_row_330,Animalia,Chordata,Actinopterygii,,Catostomidae,freshwater,fish,2
Thoburnia rhothoeca,Thoburnia rhothoeca,Thoburnia rhothoeca,ctmax,35,ComteOlden,ComteOlden_row_331,Animalia,Chordata,Actinopterygii,,Catostomidae,freshwater,fish,2
Thoracochromis albolabris,Thoracochromis albolabris,Thoracochromis albolabris,ctmax,36.68,ComteOlden,ComteOlden_row_702,Animalia,Chordata,Actinopterygii,,Cichlidae,freshwater,fish,2
Thoracochromis brauschi,Thoracochromis brauschi,Thoracochromis brauschi,ctmax,39.24,ComteOlden,ComteOlden_row_703,Animalia,Chordata,Actinopterygii,,Cichlidae,freshwater,fish,2
Thoracochromis buysi,Thoracochromis buysi,Thoracochromis buysi,ctmax,36.18,ComteOlden,ComteOlden_row_704,Animalia,Chordata,Actinopterygii,,Cichlidae,freshwater,fish,2
Thuidium cymbifolium,Thuidium cymbifolium,Thuidium cymbifolium,lt50,44.1,GlobTherm,GlobTherm_row_571_upper_primary,,Streptophyta,Bryopsida,Hypnales,Thuidiaceae,unknown,,3
Thunnus alalunga,Thunnus alalunga,Thunnus alalunga,ctmax,33.98,ComteOlden,ComteOlden_row_2746,Animalia,Chordata,Actinopterygii,,Scombridae,marine,fish,2
Thunnus albacares,Thunnus albacares,Thunnus albacares,ctmax,34.96,ComteOlden,ComteOlden_row_2747,Animalia,Chordata,Actinopterygii,,Scombridae,marine,fish,2
Thunnus atlanticus,Thunnus atlanticus,Thunnus atlanticus,ctmax,35.77,ComteOlden,ComteOlden_row_2748,Animalia,Chordata,Actinopterygii,,Scombridae,marine,fish,2
Thunnus maccoyii,Thunnus maccoyii,Thunnus maccoyii,ctmax,29.45,ComteOlden,ComteOlden_row_2749,Animalia,Chordata,Actinopterygii,,Scombridae,marine,fish,2
Thunnus obesus,Thunnus obesus,Thunnus obesus,ctmax,34.82,ComteOlden,ComteOlden_row_2750,Animalia,Chordata,Actinopterygii,,Scombridae,marine,fish,2
Thunnus thynnus,Thunnus thynnus,Thunnus thynnus,ctmax,35.86,ComteOlden,ComteOlden_row_2751,Animalia,Chordata,Actinopterygii,,Scombridae,marine,fish,2
Thunnus tonggol,Thunnus tonggol,Thunnus tonggol,ctmax,35.57,ComteOlden,ComteOlden_row_2752,Animalia,Chordata,Actinopterygii,,Scombridae,marine,fish,2
Thymallus arcticus,Thymallus arcticus,Thymallus arcticus,ctmax,29.3,ThermoFresh,t_2593,Metazoa,Chordata,Actinopteri,Salmoniformes,Salmonidae,freshwater,fish,1
Thymallus arcticus,Thymallus arcticus,Thymallus arcticus,ctmax,28.5,ThermoFresh,t_2592,Metazoa,Chordata,Actinopteri,Salmoniformes,Salmonidae,freshwater,fish,1
Thymallus arcticus,Thymallus arcticus,Thymallus arcticus,ctmax,26.4,ThermoFresh,t_2591,Metazoa,Chordata,Actinopteri,Salmoniformes,Salmonidae,freshwater,fish,1
Thymallus arcticus,Thymallus arcticus,Thymallus arcticus,ctmax,27.14,ComteOlden,ComteOlden_row_2698,Animalia,Chordata,Actinopterygii,,Salmonidae,freshwater,fish,2
Thymallus thymallus,Thymallus thymallus,Thymallus thymallus,ctmax,30.2,ThermoFresh,t_3633,Metazoa,Chordata,Actinopteri,Salmoniformes,Salmonidae,mixed,fish,1
Thymallus thymallus,Thymallus thymallus,Thymallus thymallus,ctmax,29.3,ThermoFresh,t_3630,Metazoa,Chordata,Actinopteri,Salmoniformes,Salmonidae,mixed,fish,1
Thymallus thymallus,Thymallus thymallus,Thymallus thymallus,ctmax,29.5,ThermoFresh,t_3632,Metazoa,Chordata,Actinopteri,Salmoniformes,Salmonidae,mixed,fish,1
Thymallus thymallus,Thymallus thymallus,Thymallus thymallus,ctmax,30.2,ThermoFresh,t_3634,Metazoa,Chordata,Actinopteri,Salmoniformes,Salmonidae,mixed,fish,1
Thymallus thymallus,Thymallus thymallus,Thymallus thymallus,ctmax,28.2,ThermoFresh,t_3631,Metazoa,Chordata,Actinopteri,Salmoniformes,Salmonidae,mixed,fish,1
Thymallus thymallus,Thymallus thymallus,Thymallus thymallus,ctmax,29.2,ThermoFresh,t_3629,Metazoa,Chordata,Actinopteri,Salmoniformes,Salmonidae,mixed,fish,1
Thymallus thymallus,Thymallus thymallus,Thymallus thymallus,ctmax,29.11,ComteOlden,ComteOlden_row_2699,Animalia,Chordata,Actinopterygii,,Salmonidae,freshwater,fish,2
Tiaroga cobitis,Tiaroga cobitis,Tiaroga cobitis,ctmax,35.2,ThermoFresh,t_5543,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,freshwater,fish,1
Tiaroga cobitis,Tiaroga cobitis,Tiaroga cobitis,ctmax,36.1,ThermoFresh,t_5536,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,freshwater,fish,1
Tiaroga cobitis,Tiaroga cobitis,Tiaroga cobitis,ctmax,35.3,ThermoFresh,t_5542,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,freshwater,fish,1
Tiaroga cobitis,Tiaroga cobitis,Tiaroga cobitis,ctmax,36.4,ThermoFresh,t_785,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,freshwater,fish,1
Tiaroga cobitis,Tiaroga cobitis,Tiaroga cobitis,ctmax,35.3,ThermoFresh,t_781,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,freshwater,fish,1
Tiaroga cobitis,Tiaroga cobitis,Tiaroga cobitis,ctmax,36.5,ThermoFresh,t_780,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,freshwater,fish,1
Tiaroga cobitis,Tiaroga cobitis,Tiaroga cobitis,ctmax,35.3,ThermoFresh,t_782,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,freshwater,fish,1
Tiaroga cobitis,Tiaroga cobitis,Tiaroga cobitis,ctmax,36.1,ThermoFresh,t_784,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,freshwater,fish,1
Tiaroga cobitis,Tiaroga cobitis,Tiaroga cobitis,ctmax,36.5,ThermoFresh,t_783,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,freshwater,fish,1
Tiaroga cobitis,Tiaroga cobitis,Tiaroga cobitis,ctmax,36.4,ThermoFresh,t_779,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,freshwater,fish,1
Tiaroga cobitis,Tiaroga cobitis,Tiaroga cobitis,ctmax,36.8,ThermoFresh,t_786,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,freshwater,fish,1
Tiaroga cobitis,Tiaroga cobitis,Tiaroga cobitis,lt50,30.6,ThermoFresh,t_5534,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,freshwater,fish,1
Tiaroga cobitis,Tiaroga cobitis,Tiaroga cobitis,lt50,30.6,ThermoFresh,t_5531,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,freshwater,fish,1
Tiaroga cobitis,Tiaroga cobitis,Tiaroga cobitis,ltmax,36.8,ThermoFresh,t_5535,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,freshwater,fish,1
Tiaroga cobitis,Tiaroga cobitis,Tiaroga cobitis,ltmax,36,ThermoFresh,t_5538,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,freshwater,fish,1
Tiaroga cobitis,Tiaroga cobitis,Tiaroga cobitis,ltmax,36.4,ThermoFresh,t_5537,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,freshwater,fish,1
Tiaroga cobitis,Tiaroga cobitis,Tiaroga cobitis,ltmax,36,ThermoFresh,t_5530,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,freshwater,fish,1
Tiaroga cobitis,Tiaroga cobitis,Tiaroga cobitis,ltmax,36.4,ThermoFresh,t_5532,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,freshwater,fish,1
Tiaroga cobitis,Tiaroga cobitis,Tiaroga cobitis,ltmax,36.8,ThermoFresh,t_5541,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,freshwater,fish,1
Tiaroga cobitis,Tiaroga cobitis,Tiaroga cobitis,ltmax,33.4,ThermoFresh,t_5540,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,freshwater,fish,1
Tiaroga cobitis,Tiaroga cobitis,Tiaroga cobitis,ltmax,32.9,ThermoFresh,t_5539,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,freshwater,fish,1
Tibellus oblongus,Tibellus maritimus,Tibellus oblongus,ctmax,42.8,GlobTherm,GlobTherm_row_311_upper_primary,,Arthropoda,Arachnida,Araneae,Thomisidae,unknown,,3
Tibellus oblongus,Tibellus maritimus,Tibellus oblongus,lt50,-13,GlobTherm,GlobTherm_row_311_lower_primary,,Arthropoda,Arachnida,Araneae,Thomisidae,unknown,,3
Tigriopus angulatus,Tigriopus angulatus,Tigriopus angulatus,lt50,21.9,GlobTherm,GlobTherm_row_1730_upper_primary,,Arthropoda,Maxillopoda,Harpacticoida,Harpacticidae,unknown,,3
Tigriopus angulatus,Tigriopus angulatus,Tigriopus angulatus,lt50,-7.6,GlobTherm,GlobTherm_row_1730_lower_primary,,Arthropoda,Maxillopoda,Harpacticoida,Harpacticidae,unknown,,3
Tigriopus brevicornis,Tigriopus brevicornis,Tigriopus brevicornis,lt50,35.1,GlobTherm,GlobTherm_row_1731_upper_primary,,Arthropoda,Maxillopoda,Harpacticoida,Harpacticidae,unknown,,3
Tigriopus brevicornis,Tigriopus brevicornis,Tigriopus brevicornis,lt50,-16.9,GlobTherm,GlobTherm_row_1731_lower_primary,,Arthropoda,Maxillopoda,Harpacticoida,Harpacticidae,unknown,,3
Tigriopus fulvus,Tigriopus fulvus,Tigriopus fulvus,lt50,43.7,GlobTherm,GlobTherm_row_1732_upper_primary,,Arthropoda,Maxillopoda,Harpacticoida,Harpacticidae,unknown,,3
Tigriopus fulvus,Tigriopus fulvus,Tigriopus fulvus,lt50,-2.1,GlobTherm,GlobTherm_row_1732_lower_primary,,Arthropoda,Maxillopoda,Harpacticoida,Harpacticidae,unknown,,3
Tilapia brevimanus,Tilapia brevimanus,Tilapia brevimanus,ctmax,39.95,ComteOlden,ComteOlden_row_705,Animalia,Chordata,Actinopterygii,,Cichlidae,freshwater,fish,2
Tilapia busumana,Tilapia busumana,Tilapia busumana,ctmax,39.93,ComteOlden,ComteOlden_row_706,Animalia,Chordata,Actinopterygii,,Cichlidae,freshwater,fish,2
Tilapia buttikoferi,Tilapia buttikoferi,Tilapia buttikoferi,ctmax,40.24,ComteOlden,ComteOlden_row_707,Animalia,Chordata,Actinopterygii,,Cichlidae,freshwater,fish,2
Tilapia dageti,Tilapia dageti,Tilapia dageti,ctmax,40.23,ComteOlden,ComteOlden_row_708,Animalia,Chordata,Actinopterygii,,Cichlidae,freshwater,fish,2
Tilapia guinasana,Tilapia guinasana,Tilapia guinasana,ctmax,38.19,ComteOlden,ComteOlden_row_709,Animalia,Chordata,Actinopterygii,,Cichlidae,freshwater,fish,2
Tilapia guineensis,Coptodon guineensis,Tilapia guineensis,ctmax,40.35,ComteOlden,ComteOlden_row_710,Animalia,Chordata,Actinopterygii,,Cichlidae,freshwater,fish,2
Tilapia joka,Tilapia joka,Tilapia joka,ctmax,39.46,ComteOlden,ComteOlden_row_711,Animalia,Chordata,Actinopterygii,,Cichlidae,freshwater,fish,2
Tilapia louka,Tilapia louka,Tilapia louka,ctmax,39.53,ComteOlden,ComteOlden_row_712,Animalia,Chordata,Actinopterygii,,Cichlidae,freshwater,fish,2
Tilapia mariae,Tilapia mariae,Tilapia mariae,ctmax,39.74,ComteOlden,ComteOlden_row_713,Animalia,Chordata,Actinopterygii,,Cichlidae,freshwater,fish,2
Tilapia nyongana,Tilapia nyongana,Tilapia nyongana,ctmax,38.96,ComteOlden,ComteOlden_row_714,Animalia,Chordata,Actinopterygii,,Cichlidae,freshwater,fish,2
Tilapia rendalli,Tilapia rendalli,Tilapia rendalli,ctmax,39.15,ComteOlden,ComteOlden_row_715,Animalia,Chordata,Actinopterygii,,Cichlidae,freshwater,fish,2
Tilapia rheophila,Tilapia rheophila,Tilapia rheophila,ctmax,39.6,ComteOlden,ComteOlden_row_716,Animalia,Chordata,Actinopterygii,,Cichlidae,freshwater,fish,2
Tilapia ruweti,Tilapia ruweti,Tilapia ruweti,ctmax,38.22,ComteOlden,ComteOlden_row_717,Animalia,Chordata,Actinopterygii,,Cichlidae,freshwater,fish,2
Tilapia sparrmanii,Chromis ovalis,Tilapia sparrmanii,ctmax,37.84,ComteOlden,ComteOlden_row_718,Animalia,Chordata,Actinopterygii,,Cichlidae,freshwater,fish,2
Tilapia tholloni,Tilapia tholloni,Tilapia tholloni,ctmax,39.57,ComteOlden,ComteOlden_row_719,Animalia,Chordata,Actinopterygii,,Cichlidae,freshwater,fish,2
Tiliqua nigrolutea,Tiliqua nigrolutea,Tiliqua nigrolutea,ctmax,42.5,GlobTherm,GlobTherm_row_1256_upper_primary,,Chordata,Lepidosauria,Squamata,Scincidae,unknown,,3
Tiliqua nigrolutea,Tiliqua nigrolutea,Tiliqua nigrolutea,ctmin,5.2,GlobTherm,GlobTherm_row_1256_lower_primary,,Chordata,Lepidosauria,Squamata,Scincidae,unknown,,3
Tiliqua rugosa,Tiliqua rugosa,Tiliqua rugosa,ctmax,43,GlobTherm,GlobTherm_row_1036_upper_primary,,Chordata,Lepidosauria,Squamata,Scincidae,unknown,,3
Tiliqua rugosa,Tiliqua rugosa,Tiliqua rugosa,ctmin,3.5,GlobTherm,GlobTherm_row_1036_lower_primary,,Chordata,Lepidosauria,Squamata,Scincidae,unknown,,3
Tiliqua scincoides,Tiliqua scincoides,Tiliqua scincoides,ctmax,43.9,GlobTherm,GlobTherm_row_1168_upper_primary,,Chordata,Lepidosauria,Squamata,Scincidae,unknown,,3
Tinca tinca,Tinca tinca,Tinca tinca,ctmax,38.1,ThermoFresh,t_6687,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,mixed,fish,1
Tinca tinca,Tinca tinca,Tinca tinca,ctmax,39,ThermoFresh,t_6688,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,mixed,fish,1
Tinca tinca,Tinca tinca,Tinca tinca,ctmax,32.5,ThermoFresh,t_6686,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,mixed,fish,1
Tinca tinca,Tinca tinca,Tinca tinca,ctmax,37.8,ThermoFresh,t_6690,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,mixed,fish,1
Tinca tinca,Tinca tinca,Tinca tinca,ctmax,33.2,ThermoFresh,t_6689,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,mixed,fish,1
Tinca tinca,Tinca tinca,Tinca tinca,ctmax,39.3,ThermoFresh,t_6684,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,mixed,fish,1
Tinca tinca,Tinca tinca,Tinca tinca,ctmax,32.1,ThermoFresh,t_6685,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,mixed,fish,1
Tinca tinca,Tinca tinca,Tinca tinca,ctmax,33.5,ThermoFresh,t_6683,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,mixed,fish,1
Tinca tinca,Tinca tinca,Tinca tinca,ctmax,34.34,ComteOlden,ComteOlden_row_1610,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,2
Tlalocohyla smithii,Tlalocohyla smithii,Tlalocohyla smithii,ctmax,42.5,GlobTherm,GlobTherm_row_199_upper_primary,,Chordata,Amphibia,Anura,Hylidae,unknown,,3
Tlalocohyla smithii,Tlalocohyla smithii,Tlalocohyla smithii,lt50,5,GlobTherm,GlobTherm_row_199_lower_primary,,Chordata,Amphibia,Anura,Hylidae,unknown,,3
Tonlesapia tsukawakii,Tonlesapia tsukawakii,Tonlesapia tsukawakii,ctmax,39.08,ComteOlden,ComteOlden_row_280,Animalia,Chordata,Actinopterygii,,Callionymidae,freshwater,fish,2
Tor khudree,Tor khudree,Tor khudree,ctmax,41.48,ComteOlden,ComteOlden_row_1611,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,2
Tor malabaricus,Tor malabaricus,Tor malabaricus,ctmax,41.35,ComteOlden,ComteOlden_row_1612,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,2
Tor putitora,Tor putitora,Tor putitora,ctmax,39.53,ThermoFresh,t_58,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,freshwater,fish,1
Tor putitora,Tor putitora,Tor putitora,ctmax,40.7,ThermoFresh,t_59,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,freshwater,fish,1
Tor putitora,Tor putitora,Tor putitora,ctmax,36.43,ThermoFresh,t_56,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,freshwater,fish,1
Tor putitora,Tor putitora,Tor putitora,ctmax,41.83,ThermoFresh,t_60,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,freshwater,fish,1
Tor putitora,Tor putitora,Tor putitora,ctmax,37.72,ThermoFresh,t_57,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,freshwater,fish,1
Tor putitora,Tor putitora,Tor putitora,ctmax,35.75,ComteOlden,ComteOlden_row_1613,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,2
Tor putitora,Tor putitora,Tor putitora,ltmax,37.42,ThermoFresh,t_61,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,freshwater,fish,1
Tor putitora,Tor putitora,Tor putitora,ltmax,40.89,ThermoFresh,t_63,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,freshwater,fish,1
Tor putitora,Tor putitora,Tor putitora,ltmax,38.81,ThermoFresh,t_62,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,freshwater,fish,1
Tor putitora,Tor putitora,Tor putitora,ltmax,42.17,ThermoFresh,t_64,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,freshwater,fish,1
Tor putitora,Tor putitora,Tor putitora,ltmax,42.96,ThermoFresh,t_65,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,freshwater,fish,1
Tor sinensis,Tor sinensis,Tor sinensis,ctmax,37.69,ComteOlden,ComteOlden_row_1614,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,2
Tor tambra,Tor tambroides,Tor tambra,ctmax,40.76,ComteOlden,ComteOlden_row_1615,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,2
Tor tor,Tor tor,Tor tor,ctmax,38.87,ComteOlden,ComteOlden_row_1616,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,2
Torquigener pleurogramma,Torquigener pleurogramma,Torquigener pleurogramma,ctmax,36.35,ComteOlden,ComteOlden_row_2951,Animalia,Chordata,Actinopterygii,,Tetraodontidae,marine,fish,2
Totoaba macdonaldi,Totoaba macdonaldi,Totoaba macdonaldi,ctmax,39.8,ThermoFresh,t_3181,Metazoa,Chordata,Actinopteri,Acanthomorphata,Sciaenidae,mixed,fish,1
Totoaba macdonaldi,Totoaba macdonaldi,Totoaba macdonaldi,ctmax,37.7,ThermoFresh,t_3180,Metazoa,Chordata,Actinopteri,Acanthomorphata,Sciaenidae,mixed,fish,1
Totoaba macdonaldi,Totoaba macdonaldi,Totoaba macdonaldi,ctmax,37.6,ThermoFresh,t_3177,Metazoa,Chordata,Actinopteri,Acanthomorphata,Sciaenidae,mixed,fish,1
Totoaba macdonaldi,Totoaba macdonaldi,Totoaba macdonaldi,ctmax,39.6,ThermoFresh,t_3172,Metazoa,Chordata,Actinopteri,Acanthomorphata,Sciaenidae,mixed,fish,1
Totoaba macdonaldi,Totoaba macdonaldi,Totoaba macdonaldi,ctmax,37.7,ThermoFresh,t_3174,Metazoa,Chordata,Actinopteri,Acanthomorphata,Sciaenidae,mixed,fish,1
Totoaba macdonaldi,Totoaba macdonaldi,Totoaba macdonaldi,ctmax,37.2,ThermoFresh,t_3179,Metazoa,Chordata,Actinopteri,Acanthomorphata,Sciaenidae,mixed,fish,1
Totoaba macdonaldi,Totoaba macdonaldi,Totoaba macdonaldi,ctmax,39.8,ThermoFresh,t_3175,Metazoa,Chordata,Actinopteri,Acanthomorphata,Sciaenidae,mixed,fish,1
Totoaba macdonaldi,Totoaba macdonaldi,Totoaba macdonaldi,ctmax,37.3,ThermoFresh,t_3176,Metazoa,Chordata,Actinopteri,Acanthomorphata,Sciaenidae,mixed,fish,1
Totoaba macdonaldi,Totoaba macdonaldi,Totoaba macdonaldi,ctmax,38.2,ThermoFresh,t_3171,Metazoa,Chordata,Actinopteri,Acanthomorphata,Sciaenidae,mixed,fish,1
Totoaba macdonaldi,Totoaba macdonaldi,Totoaba macdonaldi,ctmax,37.3,ThermoFresh,t_3170,Metazoa,Chordata,Actinopteri,Acanthomorphata,Sciaenidae,mixed,fish,1
Totoaba macdonaldi,Totoaba macdonaldi,Totoaba macdonaldi,ctmax,37.5,ThermoFresh,t_3173,Metazoa,Chordata,Actinopteri,Acanthomorphata,Sciaenidae,mixed,fish,1
Totoaba macdonaldi,Totoaba macdonaldi,Totoaba macdonaldi,ctmax,39.5,ThermoFresh,t_3178,Metazoa,Chordata,Actinopteri,Acanthomorphata,Sciaenidae,mixed,fish,1
Totoaba macdonaldi,Totoaba macdonaldi,Totoaba macdonaldi,ctmax,37.6,ThermoFresh,t_4931,Metazoa,Chordata,Actinopteri,Acanthomorphata,Sciaenidae,mixed,fish,1
